date,market,variety,origin,method,unit_kg,qty_kg,qty_total_kg,high_yen,mid_yen,low_yen,high_yen_per_kg,mid_yen_per_kg,low_yen_per_kg
2026-06-22,北足立,デラウェア,大阪,相対,0.3,2500.0,2500.0,486.0,,,1620,,
2026-06-22,多摩NT,デラウェア,大阪,相対,0.3,120.0,120.0,648.0,594.0,540.0,2160,1980,1800
2026-06-22,大田,デラウェア,各地,相対,2.0,13958.0,13999.0,5400.0,3456.0,3024.0,2700,1728,1512
2026-06-22,大田,デラウェア,大阪,相対,0.3,13958.0,13999.0,454.0,400.0,292.0,1513,1333,973
2026-06-22,大田,デラウェア,島根,相対,2.0,13958.0,13999.0,3240.0,3024.0,2808.0,1620,1512,1404
2026-06-22,板橋,デラウェア,各地,相対,2.0,882.0,900.0,,5400.0,,,2700,
2026-06-22,板橋,デラウェア,大阪,相対,0.3,882.0,900.0,486.0,389.0,324.0,1620,1297,1080
2026-06-22,板橋,デラウェア,大阪,第三者販売,0.3,18.0,900.0,464.0,,,1547,,
2026-06-22,淀橋,デラウェア,大阪,相対,0.3,1570.0,1570.0,518.0,,,1727,,
2026-06-22,葛西,デラウェア,大阪,相対,0.3,300.0,300.0,,378.0,,,1260,
2026-06-22,豊島,デラウェア,大阪,相対,0.3,500.0,500.0,540.0,464.0,324.0,1800,1547,1080
2026-06-22,豊洲,デラウェア,大阪,相対,0.3,712.0,772.0,454.0,432.0,324.0,1513,1440,1080
2026-06-22,豊洲,デラウェア,大阪,第三者販売,0.3,60.0,772.0,432.0,,324.0,1440,,1080
2026-06-23,世田谷,デラウェア,大阪,相対,0.3,10.0,10.0,540.0,,324.0,1800,,1080
2026-06-23,北足立,デラウェア,大阪,相対,0.3,3100.0,3100.0,486.0,,,1620,,
2026-06-23,多摩NT,デラウェア,大阪,相対,0.3,12.0,12.0,648.0,594.0,540.0,2160,1980,1800
2026-06-23,大田,デラウェア,各地,相対,2.0,12627.0,12627.0,6480.0,2916.0,2592.0,3240,1458,1296
2026-06-23,大田,デラウェア,大阪,相対,0.3,12627.0,12627.0,540.0,400.0,292.0,1800,1333,973
2026-06-23,大田,デラウェア,島根,相対,2.0,12627.0,12627.0,3240.0,3024.0,2808.0,1620,1512,1404
2026-06-23,板橋,デラウェア,各地,相対,2.0,894.0,900.0,,5400.0,,,2700,
2026-06-23,板橋,デラウェア,大阪,相対,0.3,894.0,900.0,486.0,400.0,324.0,1620,1333,1080
2026-06-23,板橋,デラウェア,大阪,第三者販売,0.3,6.0,900.0,464.0,,,1547,,
2026-06-23,淀橋,デラウェア,大阪,相対,0.3,1556.0,1556.0,518.0,,,1727,,
2026-06-23,葛西,デラウェア,大阪,相対,0.3,300.0,300.0,,378.0,,,1260,
2026-06-23,豊島,デラウェア,大阪,相対,0.3,500.0,500.0,464.0,410.0,324.0,1547,1367,1080
2026-06-23,豊洲,デラウェア,各地,相対,2.0,538.0,656.0,,7020.0,,,3510,
2026-06-23,豊洲,デラウェア,各地,第三者販売,2.0,118.0,656.0,,7020.0,,,3510,
2026-06-23,豊洲,デラウェア,大阪,相対,0.3,538.0,656.0,454.0,432.0,378.0,1513,1440,1260
2026-06-23,豊洲,デラウェア,大阪,第三者販売,0.3,118.0,656.0,454.0,432.0,324.0,1513,1440,1080
2026-06-25,北足立,デラウェア,大阪,相対,0.3,4100.0,4100.0,486.0,,,1620,,
2026-06-25,多摩NT,デラウェア,大阪,相対,0.3,240.0,240.0,648.0,594.0,540.0,2160,1980,1800
2026-06-25,大田,デラウェア,各地,相対,2.0,18235.0,18238.0,6480.0,2592.0,1944.0,3240,1296,972
2026-06-25,大田,デラウェア,大阪,相対,0.3,18235.0,18238.0,454.0,389.0,270.0,1513,1297,900
2026-06-25,大田,デラウェア,島根,相対,2.0,18235.0,18238.0,3240.0,3024.0,2808.0,1620,1512,1404
2026-06-25,板橋,デラウェア,各地,相対,2.0,988.0,1000.0,,5400.0,,,2700,
2026-06-25,板橋,デラウェア,大阪,相対,0.3,988.0,1000.0,486.0,410.0,324.0,1620,1367,1080
2026-06-25,板橋,デラウェア,大阪,第三者販売,0.3,12.0,1000.0,464.0,,,1547,,
2026-06-25,淀橋,デラウェア,大阪,相対,0.3,1988.0,1988.0,518.0,,,1727,,
2026-06-25,葛西,デラウェア,大阪,相対,0.3,1000.0,1000.0,,378.0,,,1260,
2026-06-25,豊島,デラウェア,大阪,相対,0.3,500.0,500.0,464.0,410.0,324.0,1547,1367,1080
2026-06-25,豊洲,デラウェア,各地,相対,2.0,1068.0,1194.0,,7020.0,,,3510,
2026-06-25,豊洲,デラウェア,大阪,相対,0.3,1068.0,1194.0,454.0,432.0,324.0,1513,1440,1080
2026-06-25,豊洲,デラウェア,大阪,第三者販売,0.3,126.0,1194.0,454.0,432.0,324.0,1513,1440,1080
