date,market,qty_total_kg,method,qty_kg,variety,origin,unit_kg,high,mid,low
20250510,大田,997,相対,997,デラウェア,各地,2,7560,7560,－
20250510,淀橋,271,相対,271,デラウェア,各地,2,8640,－,6480
20250510,葛西,1800,相対,1800,デラウェア,大阪,0.3,－,1296,－
20250510,豊洲,32,相対,32,デラウェア,各地,2,－,7560,－
20250512,葛西,900,相対,900,デラウェア,大阪,0.3,－,1296,－
20250513,大田,1525,相対,1480,デラウェア,各地,2,8640,8640,4860
20250513,淀橋,728,相対,728,デラウェア,各地,2,8100,－,－
20250513,葛西,1000,相対,1000,デラウェア,大阪,0.3,－,1296,－
20250513,豊洲,68,相対,68,デラウェア,各地,2,10800,－,7560
20250515,大田,1448,相対,1433,デラウェア,各地,2,8640,－,5400
20250515,板橋,100,相対,100,デラウェア,大阪,0.3,－,432,－
20250515,淀橋,353,相対,353,デラウェア,各地,2,7560,－,－
20250515,葛西,100,相対,100,デラウェア,大阪,0.3,－,1296,－
20250515,豊洲,109,相対,109,デラウェア,各地,2,8100,－,7560
20250517,大田,1781,相対,1774,デラウェア,各地,2,8640,7020,5400
20250517,淀橋,461,相対,461,デラウェア,各地,2,7560,－,－
20250517,葛西,1700,せり・入札,1700,デラウェア,島根,2,1404,－,－
20250517,豊洲,40,相対,40,デラウェア,各地,2,7560,－,6480
20250519,大田,1374,相対,1362,デラウェア,島根,2,5184,－,－
20250519,葛西,2800,相対,2800,デラウェア,大阪,0.3,－,1404,－
20250520,大田,2178,相対,2116,デラウェア,各地,2,7560,6912,5400
20250520,大田,2178,相対,2116,デラウェア,島根,2,5184,5162,5076
20250520,板橋,100,相対,100,デラウェア,各地,2,－,1620,－
20250520,淀橋,303,相対,303,デラウェア,各地,2,8640,－,6480
20250520,葛西,1100,相対,1100,デラウェア,大阪,0.3,－,1404,－
20250520,豊洲,62,相対,62,デラウェア,各地,2,8640,－,7560
20250522,大田,2510,相対,2472,デラウェア,各地,2,7560,6912,5400
20250522,大田,2510,相対,2472,デラウェア,島根,2,4860,4666,4644
20250522,板橋,100,相対,100,デラウェア,島根,2,－,1620,－
20250522,淀橋,506,相対,506,デラウェア,各地,2,8640,－,6480
20250522,豊洲,216,相対,216,デラウェア,各地,2,8100,7560,7020
20250522,豊洲,216,相対,216,デラウェア,大阪,0.3,864,－,702
20250523,大田,1514,相対,1514,デラウェア,島根,2,4860,4698,4644
20250523,葛西,1000,相対,1000,デラウェア,大阪,0.3,－,1404,－
20250524,多摩NT,30,相対,30,デラウェア,各地,2,7560,7020,6480
20250524,大田,2776,相対,2776,デラウェア,各地,2,6480,6480,－
20250524,大田,2776,相対,2776,デラウェア,大阪,0.3,810,810,670
20250524,大田,2776,相対,2776,デラウェア,島根,2,4644,4590,4536
20250524,板橋,200,相対,200,デラウェア,大阪,0.3,2160,2160,432
20250524,葛西,700,相対,700,デラウェア,大阪,0.3,－,1296,－
20250524,豊島,200,相対,200,デラウェア,大阪,0.3,810,756,702
20250524,豊洲,220,相対,220,デラウェア,各地,2,8100,－,7020
20250524,豊洲,220,相対,220,デラウェア,大阪,0.3,810,－,702
20250526,大田,2065,相対,2059,デラウェア,島根,2,4320,4039,3888
20250526,葛西,2000,相対,2000,デラウェア,大阪,0.3,－,1404,－
20250527,北足立,300,相対,300,デラウェア,大阪,0.3,756,－,－
20250527,大田,2706,相対,2682,デラウェア,各地,2,6480,6372,5400
20250527,大田,2706,相対,2682,デラウェア,大阪,0.3,756,－,－
20250527,大田,2706,相対,2682,デラウェア,島根,2,4320,4028,3888
20250527,板橋,200,相対,194,デラウェア,大阪,0.3,594,540,432
20250527,板橋,200,第三者販売,6,デラウェア,大阪,0.3,－,540,－
20250527,淀橋,547,相対,547,デラウェア,大阪,0.3,756,－,－
20250527,葛西,1300,相対,1300,デラウェア,大阪,0.3,－,1404,－
20250527,豊島,100,相対,100,デラウェア,大阪,0.3,756,702,648
20250527,豊洲,575,相対,575,デラウェア,各地,2,7560,7020,6480
20250527,豊洲,575,相対,575,デラウェア,大阪,0.3,756,648,594
20250529,大田,3608,相対,3608,デラウェア,各地,2,7020,5940,－
20250529,大田,3608,相対,3608,デラウェア,大阪,0.3,702,－,－
20250529,大田,3608,相対,3608,デラウェア,島根,2,4860,3899,3672
20250529,板橋,100,相対,89,デラウェア,大阪,0.3,594,518,432
20250529,板橋,100,第三者販売,11,デラウェア,大阪,0.3,594,540,－
20250529,淀橋,665,相対,665,デラウェア,大阪,0.3,702,－,－
20250529,葛西,400,相対,400,デラウェア,大阪,0.3,－,1404,－
20250529,豊島,200,相対,200,デラウェア,大阪,0.3,756,648,540
20250529,豊洲,397,相対,397,デラウェア,各地,2,－,6480,－
20250529,豊洲,397,相対,397,デラウェア,大阪,0.3,724,－,670
20250530,北足立,300,相対,300,デラウェア,大阪,0.3,702,－,－
20250530,大田,2811,相対,2811,デラウェア,大阪,0.3,702,648,540
20250530,大田,2811,相対,2811,デラウェア,島根,2,3888,3791,3672
20250530,淀橋,357,相対,357,デラウェア,大阪,0.3,702,－,－
20250530,葛西,1300,相対,1300,デラウェア,大阪,0.3,－,1404,－
20250530,豊島,100,相対,100,デラウェア,大阪,0.3,756,702,648
20250530,豊洲,448,相対,448,デラウェア,大阪,0.3,702,594,540
20250531,大田,4055,相対,4055,デラウェア,各地,2,5940,5940,－
20250531,大田,4055,相対,4055,デラウェア,大阪,0.3,702,－,－
20250531,大田,4055,相対,4055,デラウェア,島根,2,4104,3845,3672
20250531,板橋,200,相対,193,デラウェア,大阪,0.3,594,518,432
20250531,板橋,200,第三者販売,7,デラウェア,大阪,0.3,594,540,－
20250531,淀橋,881,相対,881,デラウェア,大阪,0.3,702,－,－
20250531,葛西,200,相対,200,デラウェア,大阪,0.3,－,1404,－
20250531,豊島,200,相対,200,デラウェア,大阪,0.3,702,648,540
20250531,豊洲,262,相対,262,デラウェア,各地,2,－,7020,－
20250531,豊洲,262,相対,262,デラウェア,大阪,0.3,680,－,626
20250602,北足立,500,相対,500,デラウェア,大阪,0.3,648,－,－
20250602,大田,4825,相対,4779,デラウェア,大阪,0.3,648,594,486
20250602,大田,4825,相対,4779,デラウェア,島根,2,4104,3672,3456
20250602,板橋,300,相対,288,デラウェア,大阪,0.3,594,540,432
20250602,板橋,300,第三者販売,12,デラウェア,大阪,0.3,594,－,－
20250602,淀橋,769,相対,769,デラウェア,大阪,0.3,702,－,－
20250602,葛西,1000,相対,1000,デラウェア,大阪,0.3,－,864,－
20250602,豊島,200,相対,200,デラウェア,大阪,0.3,648,594,540
20250602,豊洲,548,相対,548,デラウェア,大阪,0.3,648,594,540
20250603,北足立,100,相対,100,デラウェア,各地,0.3,756,－,－
20250603,大田,4246,相対,4217,デラウェア,各地,2,7560,5940,5400
20250603,大田,4246,相対,4217,デラウェア,大阪,0.3,648,－,－
20250603,大田,4246,相対,4217,デラウェア,島根,2,3888,3672,3456
20250603,淀橋,527,相対,527,デラウェア,各地,2,6480,－,－
20250603,淀橋,527,相対,527,デラウェア,大阪,0.3,702,－,－
20250603,葛西,1700,相対,1700,デラウェア,大阪,0.3,648,－,594
20250603,豊島,300,相対,300,デラウェア,大阪,0.3,702,648,540
20250603,豊洲,392,相対,392,デラウェア,各地,2,7560,－,7020
20250603,豊洲,392,相対,392,デラウェア,大阪,0.3,648,－,594
20250605,北足立,600,相対,600,デラウェア,大阪,0.3,648,－,－
20250605,大田,5843,相対,5837,デラウェア,各地,2,7560,6048,4860
20250605,大田,5843,相対,5837,デラウェア,大阪,0.3,702,551,432
20250605,大田,5843,相対,5837,デラウェア,島根,2,3888,3672,3456
20250605,板橋,300,相対,288,デラウェア,大阪,0.3,572,432,378
20250605,板橋,300,第三者販売,12,デラウェア,大阪,0.3,572,540,－
20250605,淀橋,1199,相対,1199,デラウェア,各地,2,6480,－,－
20250605,淀橋,1199,相対,1199,デラウェア,大阪,0.3,702,－,－
20250605,葛西,500,相対,500,デラウェア,大阪,0.3,648,－,594
20250605,豊島,300,相対,300,デラウェア,大阪,0.3,648,572,432
20250605,豊洲,722,相対,722,デラウェア,各地,2,5400,－,4860
20250605,豊洲,722,相対,722,デラウェア,大阪,0.3,626,－,540
20250606,大田,4484,相対,4466,デラウェア,大阪,0.3,702,626,486
20250606,大田,4484,相対,4466,デラウェア,島根,2,3888,3672,3456
20250606,淀橋,633,相対,633,デラウェア,大阪,0.3,702,－,－
20250606,葛西,1200,相対,1200,デラウェア,大阪,0.3,648,－,594
20250606,豊島,200,相対,200,デラウェア,大阪,0.3,648,572,518
20250606,豊洲,204,相対,204,デラウェア,大阪,0.3,626,－,572
20250607,北足立,600,相対,600,デラウェア,各地,0.3,756,－,－
20250607,北足立,600,相対,600,デラウェア,大阪,0.3,594,－,－
20250607,多摩NT,30,相対,30,デラウェア,大阪,0.3,648,594,540
20250607,大田,5931,相対,5930,デラウェア,各地,2,5400,－,－
20250607,大田,5931,相対,5930,デラウェア,大阪,0.3,626,540,432
20250607,大田,5931,相対,5930,デラウェア,島根,2,3672,3564,3240
20250607,板橋,700,相対,688,デラウェア,大阪,0.3,594,508,378
20250607,板橋,700,第三者販売,12,デラウェア,大阪,0.3,530,500,－
20250607,淀橋,944,相対,944,デラウェア,大阪,0.3,702,－,－
20250607,葛西,300,相対,300,デラウェア,大阪,0.3,594,－,540
20250607,豊島,300,相対,300,デラウェア,大阪,0.3,594,518,486
20250607,豊洲,768,相対,768,デラウェア,各地,2,－,5400,－
20250607,豊洲,768,相対,768,デラウェア,大阪,0.3,594,540,486
20250609,北足立,1000,相対,1000,デラウェア,大阪,0.3,594,－,－
20250609,大田,6753,相対,6753,デラウェア,大阪,0.3,605,508,378
20250609,大田,6753,相対,6753,デラウェア,島根,2,3672,3456,3240
20250609,板橋,700,相対,682,デラウェア,大阪,0.3,562,497,378
20250609,板橋,700,第三者販売,18,デラウェア,大阪,0.3,540,－,－
20250609,淀橋,681,相対,681,デラウェア,大阪,0.3,648,－,－
20250609,葛西,1100,相対,1100,デラウェア,大阪,0.3,594,540,486
20250609,豊島,500,相対,500,デラウェア,大阪,0.3,572,518,464
20250609,豊洲,785,相対,785,デラウェア,大阪,0.3,540,518,486
20250610,北足立,200,相対,200,デラウェア,各地,0.3,756,－,－
20250610,大田,5452,相対,5433,デラウェア,各地,2,9720,7992,5400
20250610,大田,5452,相対,5433,デラウェア,大阪,0.3,626,594,－
20250610,大田,5452,せり・入札,19,デラウェア,島根,2,3672,－,－
20250610,大田,5452,相対,5433,デラウェア,島根,2,3672,3456,3240
20250610,板橋,500,相対,488,デラウェア,大阪,0.3,562,486,378
20250610,板橋,500,第三者販売,12,デラウェア,大阪,0.3,540,518,－
20250610,淀橋,636,相対,636,デラウェア,大阪,0.3,648,－,－
20250610,葛西,1100,相対,1100,デラウェア,大阪,0.3,594,－,540
20250610,豊島,400,相対,400,デラウェア,大阪,0.3,572,518,378
20250610,豊洲,655,相対,655,デラウェア,各地,2,7020,－,5400
20250610,豊洲,655,相対,655,デラウェア,大阪,0.3,572,－,518
20250610,豊洲,655,相対,655,デラウェア,島根,2,－,3888,－
20250612,世田谷,100,相対,100,デラウェア,大阪,0.3,562,－,－
20250612,北足立,1100,相対,1100,デラウェア,各地,0.3,756,－,－
20250612,北足立,1100,相対,1100,デラウェア,大阪,0.3,594,－,－
20250612,大田,9012,相対,8988,デラウェア,各地,2,9720,8640,5400
20250612,大田,9012,相対,8988,デラウェア,大阪,0.3,572,486,378
20250612,大田,9012,相対,8988,デラウェア,島根,2,3672,3456,3024
20250612,板橋,600,相対,588,デラウェア,大阪,0.3,562,508,378
20250612,板橋,600,第三者販売,12,デラウェア,大阪,0.3,540,－,－
20250612,淀橋,844,相対,844,デラウェア,大阪,0.3,626,－,－
20250612,葛西,600,相対,600,デラウェア,大阪,0.3,540,－,486
20250612,豊島,400,相対,400,デラウェア,大阪,0.3,518,464,378
20250612,豊洲,973,相対,973,デラウェア,各地,2,7020,－,5400
20250612,豊洲,973,相対,973,デラウェア,大阪,0.3,540,486,432
20250613,北足立,100,相対,100,デラウェア,各地,0.3,756,－,－
20250613,大田,5931,相対,5903,デラウェア,各地,2,5400,5400,－
20250613,大田,5931,相対,5903,デラウェア,大阪,0.3,562,－,－
20250613,大田,5931,相対,5903,デラウェア,島根,2,3672,3456,3024
20250613,板橋,500,相対,494,デラウェア,大阪,0.3,540,464,356
20250613,板橋,500,第三者販売,6,デラウェア,大阪,0.3,518,－,－
20250613,淀橋,586,相対,586,デラウェア,大阪,0.3,626,－,－
20250613,葛西,1000,相対,1000,デラウェア,大阪,0.3,540,－,486
20250613,豊島,300,相対,300,デラウェア,大阪,0.3,572,518,464
20250613,豊洲,299,相対,299,デラウェア,大阪,0.3,540,486,432
20250614,北足立,1400,相対,1400,デラウェア,各地,0.3,756,－,－
20250614,多摩NT,18,相対,18,デラウェア,各地,2,5400,－,－
20250614,多摩NT,18,相対,18,デラウェア,大阪,0.3,594,562,432
20250614,大田,8966,相対,8945,デラウェア,各地,2,9720,8748,5400
20250614,大田,8966,相対,8945,デラウェア,大阪,0.3,572,464,356
20250614,大田,8966,相対,8945,デラウェア,島根,2,3672,3348,3024
20250614,板橋,600,相対,594,デラウェア,大阪,0.3,540,497,356
20250614,板橋,600,第三者販売,6,デラウェア,大阪,0.3,518,－,－
20250614,淀橋,806,相対,806,デラウェア,大阪,0.3,626,－,－
20250614,葛西,300,相対,300,デラウェア,大阪,0.3,540,－,486
20250614,豊島,500,相対,500,デラウェア,大阪,0.3,540,464,378
20250614,豊洲,841,相対,841,デラウェア,各地,2,7020,－,5940
20250614,豊洲,841,相対,841,デラウェア,大阪,0.3,540,486,432
20250616,北足立,1600,相対,1600,デラウェア,大阪,0.3,486,－,－
20250616,多摩NT,30,相対,30,デラウェア,各地,2,5400,－,－
20250616,多摩NT,30,相対,30,デラウェア,大阪,0.3,572,508,378
20250616,大田,10544,相対,10544,デラウェア,各地,2,5400,－,－
20250616,大田,10544,相対,10544,デラウェア,大阪,0.3,540,432,346
20250616,大田,10544,相対,10544,デラウェア,島根,2,3456,3132,2700
20250616,板橋,600,相対,588,デラウェア,大阪,0.3,518,464,346
20250616,板橋,600,第三者販売,12,デラウェア,大阪,0.3,518,508,－
20250616,淀橋,830,相対,830,デラウェア,大阪,0.3,594,－,－
20250616,葛西,2200,相対,2200,デラウェア,大阪,0.3,486,464,432
20250616,豊島,400,相対,400,デラウェア,大阪,0.3,540,518,464
20250616,豊洲,1004,相対,1004,デラウェア,各地,2,－,5400,－
20250616,豊洲,1004,相対,1004,デラウェア,大阪,0.3,540,486,432
20250617,世田谷,140,相対,140,デラウェア,大阪,0.3,648,－,540
20250617,北足立,1700,相対,1700,デラウェア,各地,0.3,648,－,－
20250617,北足立,1700,相対,1700,デラウェア,大阪,0.3,486,－,－
20250617,多摩NT,30,相対,30,デラウェア,各地,2,5400,－,－
20250617,多摩NT,30,相対,30,デラウェア,大阪,0.3,572,508,378
20250617,大田,9049,相対,8972,デラウェア,各地,2,8640,－,－
20250617,大田,9049,相対,8972,デラウェア,大阪,0.3,540,432,346
20250617,大田,9049,相対,8972,デラウェア,島根,2,3456,3132,2808
20250617,板橋,500,相対,488,デラウェア,大阪,0.3,518,454,346
20250617,板橋,500,第三者販売,12,デラウェア,大阪,0.3,518,508,－
20250617,淀橋,1124,相対,1124,デラウェア,大阪,0.3,594,－,－
20250617,葛西,1700,相対,1700,デラウェア,大阪,0.3,486,464,432
20250617,豊島,500,相対,500,デラウェア,大阪,0.3,508,464,378
20250617,豊洲,1114,相対,1114,デラウェア,各地,2,－,7020,－
20250617,豊洲,1114,相対,1114,デラウェア,大阪,0.3,540,486,432
20250617,豊洲,1114,相対,1114,デラウェア,島根,2,－,3888,－
20250619,世田谷,400,相対,400,デラウェア,大阪,0.3,－,410,－
20250619,北足立,2000,相対,2000,デラウェア,大阪,0.3,486,－,－
20250619,大田,13311,相対,13311,デラウェア,各地,2,8640,8316,7560
20250619,大田,13311,相対,13311,デラウェア,大阪,0.3,540,443,346
20250619,大田,13311,相対,13311,デラウェア,島根,2,3456,3132,2808
20250619,板橋,800,相対,788,デラウェア,大阪,0.3,518,454,346
20250619,板橋,800,第三者販売,12,デラウェア,大阪,0.3,508,454,－
20250619,淀橋,1035,相対,1035,デラウェア,大阪,0.3,594,－,－
20250619,葛西,500,相対,500,デラウェア,大阪,0.3,486,464,432
20250619,豊島,200,相対,200,デラウェア,大阪,0.3,518,486,432
20250619,豊洲,1215,相対,1215,デラウェア,各地,2,－,7020,－
20250619,豊洲,1215,相対,1215,デラウェア,大阪,0.3,508,454,432
20250620,世田谷,400,相対,400,デラウェア,大阪,0.3,518,－,－
20250620,北足立,1400,相対,1400,デラウェア,大阪,0.3,486,－,－
20250620,多摩NT,150,相対,150,デラウェア,各地,2,5400,－,－
20250620,多摩NT,150,相対,150,デラウェア,大阪,0.3,572,508,378
20250620,大田,9871,相対,9744,デラウェア,大阪,0.3,518,443,346
20250620,大田,9871,相対,9744,デラウェア,島根,2,3456,3132,2808
20250620,板橋,500,相対,494,デラウェア,大阪,0.3,518,454,346
20250620,板橋,500,第三者販売,6,デラウェア,大阪,0.3,508,－,－
20250620,淀橋,670,相対,670,デラウェア,大阪,0.3,540,－,－
20250620,葛西,1900,相対,1900,デラウェア,大阪,0.3,464,－,410
20250620,豊島,500,相対,500,デラウェア,大阪,0.3,540,486,378
20250620,豊洲,1055,相対,1055,デラウェア,大阪,0.3,508,454,432
20250621,世田谷,200,相対,200,デラウェア,大阪,0.3,－,432,－
20250621,北足立,1400,相対,1400,デラウェア,大阪,0.3,486,－,－
20250621,多摩NT,150,相対,150,デラウェア,各地,2,5400,－,－
20250621,多摩NT,150,相対,150,デラウェア,大阪,0.3,572,508,378
20250621,大田,12199,相対,12199,デラウェア,各地,2,8640,6156,4860
20250621,大田,12199,相対,12199,デラウェア,大阪,0.3,518,432,346
20250621,大田,12199,相対,12199,デラウェア,島根,2,3456,3132,2808
20250621,板橋,700,相対,682,デラウェア,大阪,0.3,1620,454,346
20250621,板橋,700,第三者販売,18,デラウェア,大阪,0.3,508,－,464
20250621,淀橋,1020,相対,1020,デラウェア,各地,2,4860,－,－
20250621,淀橋,1020,相対,1020,デラウェア,大阪,0.3,540,－,－
20250621,葛西,400,相対,400,デラウェア,大阪,0.3,486,－,410
20250621,豊島,500,相対,500,デラウェア,大阪,0.3,540,464,378
20250621,豊洲,948,相対,948,デラウェア,各地,2,7020,－,5400
20250621,豊洲,948,相対,948,デラウェア,大阪,0.3,508,454,400
20250623,世田谷,100,相対,100,デラウェア,大阪,0.3,464,－,－
20250623,北足立,2100,相対,2100,デラウェア,大阪,0.3,486,－,－
20250623,大田,13241,相対,12635,デラウェア,各地,2,4860,4860,－
20250623,大田,13241,せり・入札,36,デラウェア,大阪,0.3,400,－,－
20250623,大田,13241,相対,12635,デラウェア,大阪,0.3,486,410,324
20250623,大田,13241,相対,12635,デラウェア,島根,2,3456,3024,2700
20250623,板橋,600,相対,594,デラウェア,大阪,0.3,518,432,324
20250623,板橋,600,第三者販売,6,デラウェア,大阪,0.3,497,－,－
20250623,淀橋,1075,相対,1075,デラウェア,各地,2,4860,－,－
20250623,淀橋,1075,相対,1075,デラウェア,大阪,0.3,540,－,－
20250623,葛西,1100,相対,1100,デラウェア,大阪,0.3,540,－,486
20250623,豊島,500,相対,500,デラウェア,大阪,0.3,486,432,356
20250623,豊洲,1101,相対,1101,デラウェア,各地,2,－,4860,－
20250623,豊洲,1101,相対,1101,デラウェア,大阪,0.3,464,432,378
20250624,北足立,1500,相対,1500,デラウェア,大阪,0.3,486,－,－
20250624,多摩NT,60,相対,60,デラウェア,各地,2,6480,5400,－
20250624,多摩NT,60,相対,60,デラウェア,大阪,0.3,518,432,356
